,studlab,treat1,treat2,TE,seTE,n1,mean1,sd1,n2,mean2,sd2,Study_No,Study_ID,Drug1,Drug2,OverallEfficM1,OverallEfficM2,OverallEfficSD1,OverallEfficSD2,OverallEfficN1,OverallEfficN2,No_randomised1,No_randomised2,rob,year
262,331,Aripiprazole,Cariprazine,0.41377049,1.743776692,152,-21.2,17.15,312,-21.61377049,18.57393604,331,NCT01104766,Aripiprazole,Cariprazine,-21.2,-21.61377049,17.15,18.57393604,150,305,152,312,1,2000
263,331,Aripiprazole,Placebo,-6.9,2.030724003,152,-21.2,17.15,153,-14.3,18.3,331,NCT01104766,Aripiprazole,Placebo,-21.2,-14.3,17.15,18.3,150,149,152,153,1,2000
264,331,Cariprazine,Placebo,-7.31377049,1.815093451,312,-21.61377049,18.57393604,153,-14.3,18.3,331,NCT01104766,Cariprazine,Placebo,-21.61377049,-14.3,18.57393604,18.3,305,149,312,153,1,2000
265,3400,Lurasidone,Placebo,-5.3410596,2.064761856,305,-17.2410596,20.78851482,152,-11.9,20.8,3400,NCT01614899,Lurasidone,Placebo,-17.2410596,-11.9,20.78851482,20.8,302,148,305,152,1,2000
266,3325,Brexpiprazole,Placebo,-4.1,2.107962213,150,-20,18.37,163,-15.9,18.91,3325,NCT01810380,Brexpiprazole,Placebo,-20,-15.9,18.37,18.91,150,159,150,163,1,2000
267,3325,Brexpiprazole,Quetiapine,4,2.107365948,150,-20,18.37,154,-24,18.37,3325,NCT01810380,Brexpiprazole,Quetiapine,-20,-24,18.37,18.37,150,150,150,154,1,2000
268,3325,Placebo,Quetiapine,8.1,2.094056015,163,-15.9,18.91,154,-24,18.37,3325,NCT01810380,Placebo,Quetiapine,-15.9,-24,18.91,18.37,159,150,163,154,1,2000
269,3048,Lumateperone,Placebo,0.5,1.654900247,174,-14.6,15.27,174,-15.1,15.6,3048,NCT02469155,Lumateperone,Placebo,-14.6,-15.1,15.27,15.6,162,169,174,174,1,2000
270,3048,Lumateperone,Risperidone,5.9,1.692676925,174,-14.6,15.27,174,-20.5,16.29,3048,NCT02469155,Lumateperone,Risperidone,-14.6,-20.5,15.27,16.29,162,157,174,174,1,2000
271,3048,Placebo,Risperidone,5.4,1.709883541,174,-15.1,15.6,174,-20.5,16.29,3048,NCT02469155,Placebo,Risperidone,-15.1,-20.5,15.6,16.29,169,157,174,174,1,2000
272,3681,Asenapine,Placebo,-5.74579208,1.414584184,411,-21.24579208,16.49199746,206,-15.5,16.61,3681,NCT02876900,Asenapine,Placebo,-21.24579208,-15.5,16.49199746,16.61,404,203,411,206,1,2000
273,1204,Haloperidol,Trifluoperazine,-10,5.875400905,15,-31.2,16.09044805,15,-21.2,16.09044805,1204,O Brien 1974,Haloperidol,Trifluoperazine,-31.2,-21.2,16.09044805,16.09044805,12,12,15,15,1,2000
274,829,Olanzapine,Placebo,-26.75,5.283757713,34,-19.12,22.67,63,7.63,28.4,829,Patil 2007,Olanzapine,Placebo,-19.12,7.63,22.67,28.4,34,62,34,63,1,2000
275,832,Haloperidol,Zotepine,3.58,2.818715231,63,-13.45,15.82,63,-17.03,15.82,832,Petit 1996,Haloperidol,Zotepine,-13.45,-17.03,15.82,15.82,62,62,63,63,1,2000
276,345,Haloperidol,Risperidone,3.2477,1.819910691,226,-15,21.8,457,-18.2477,23.5079578,345,Peuskens 1995,Haloperidol,Risperidone,-15,-18.2477,21.8,23.5079578,223,455,226,457,1,2000
277,346,Chlorpromazine,Quetiapine,0.9,2.526165842,100,-18.6,17.3,101,-19.5,18.5,346,Peuskens 1997,Chlorpromazine,Quetiapine,-18.6,-19.5,17.3,18.5,98,98,100,101,1,2000
278,347,Amisulpride,Risperidone,-2.5,1.907968749,115,-17.7,14.9,113,-15.2,13.9,347,Peuskens 1999,Amisulpride,Risperidone,-17.7,-15.2,14.9,13.9,115,113,115,113,1,2000
279,350,Placebo,Thioridazine,6,7.246760701,5,55.5,12.37620002,7,49.5,12.37620002,350,"Pi 1990, 01400",Placebo,Thioridazine,55.5,49.5,12.37620002,12.37620002,5,7,5,7,1,2000
280,1379,Chlorpromazine,Sulpiride,3.4,3.17992042,28,47.4,12.37620002,33,44,12.37620002,1379,Pichot 1983,Chlorpromazine,Sulpiride,47.4,44,12.37620002,12.37620002,28,33,28,33,1,2000
281,843,Aripiprazole,Placebo,-9.2,2.534430508,202,-14.2,20.52,103,-5,21.14,843,Potkin 2003,Aripiprazole,Placebo,-14.2,-5,20.52,21.14,194,103,202,103,1,2000
282,843,Aripiprazole,Risperidone,1.5,2.666860383,202,-14.2,20.52,99,-15.7,22.31,843,Potkin 2003,Aripiprazole,Risperidone,-14.2,-15.7,20.52,22.31,194,95,202,99,1,2000
283,843,Placebo,Risperidone,10.7,3.060468664,103,-5,21.14,99,-15.7,22.31,843,Potkin 2003,Placebo,Risperidone,-5,-15.7,21.14,22.31,103,95,103,99,1,2000
284,845,Asenapine,Placebo,-11.3,4.635941866,60,-19.8,24.8,62,-8.5,26.4,845,Potkin 2007c,Asenapine,Placebo,-19.8,-8.5,24.8,26.4,58,60,60,62,1,2000
285,845,Asenapine,Risperidone,-3.6,4.500537005,60,-19.8,24.8,60,-16.2,24.5,845,Potkin 2007c,Asenapine,Risperidone,-19.8,-16.2,24.8,24.5,58,56,60,60,1,2000
286,845,Placebo,Risperidone,7.7,4.609279444,62,-8.5,26.4,60,-16.2,24.5,845,Potkin 2007c,Placebo,Risperidone,-8.5,-16.2,26.4,24.5,60,56,62,60,1,2000
287,359,Chlorpromazine,Clozapine,-4,3.586071913,20,25,8.9,17,29,12.3,359,Potter 1989,Chlorpromazine,Clozapine,25,29,8.9,12.3,20,17,20,17,1,2000
288,851,Amisulpride,Haloperidol,-6.55,2.484412803,129,-25.45,16.74,64,-18.9,16,851,Puech 1998,Amisulpride,Haloperidol,-25.45,-18.9,16.74,16,125,61,129,64,1,2000
289,367,Chlorpromazine,Placebo,-7.8,3.546742898,27,-17.8,11.95,27,-10,14.03,367,Ramu 1999,Chlorpromazine,Placebo,-17.8,-10,11.95,14.03,27,27,27,27,1,2000
290,1116,Perphenazine,Zuclopenthixol,0.592482874,2.158385614,18,6.235882244,6.517311609,22,5.64339937,7.111645991,1116,Remvig 1987,Perphenazine,Zuclopenthixol,6.235882244,5.64339937,6.517311609,7.111645991,18,22,18,22,1,2000
291,376,Olanzapine,Quetiapine,3.62,6.126851996,26,-17.88,20.71,26,-21.5,23.39,376,Riedel 2007,Olanzapine,Quetiapine,-17.88,-21.5,20.71,23.39,17,16,26,26,1,2000
292,381,Haloperidol,Olanzapine,-0.9,1.78192956,150,79,15.8,159,79.9,15.5,381,Rosenheck 2003w6,Haloperidol,Olanzapine,79,79.9,15.8,15.5,115,121,150,159,1,2000
293,867,Amisulpride,Perazine,-4.56,2.755116452,15,37.14,7.26,15,41.7,7.82,867,"R,Amisulpride""",Perazine,37.14,41.7,7.26,7.82,12,13,15,15,,1,2000
294,384,Olanzapine,Quetiapine,2.32,5.795231941,25,-35.83,20.48923902,25,-38.15,20.48923902,384,Sacchetti 2008,Olanzapine,Quetiapine,-35.83,-38.15,20.48923902,20.48923902,25,25,25,25,1,2000
295,384,Olanzapine,Risperidone,-3.09,5.795231941,25,-35.83,20.48923902,25,-32.74,20.48923902,384,Sacchetti 2008,Olanzapine,Risperidone,-35.83,-32.74,20.48923902,20.48923902,25,25,25,25,1,2000
296,384,Quetiapine,Risperidone,-5.41,5.795231941,25,-38.15,20.48923902,25,-32.74,20.48923902,384,Sacchetti 2008,Quetiapine,Risperidone,-38.15,-32.74,20.48923902,20.48923902,25,25,25,25,1,2000
297,4691,Haloperidol,Ziprasidone,8.76,4.118971596,58,74.99,20.38,54,66.23,23.01,4691,Schennach 2018,Haloperidol,Ziprasidone,74.99,66.23,20.38,23.01,58,54,58,54,1,2000
298,394,Olanzapine,Placebo,-16.5,2.311893671,93,-22.9,16.92,101,-6.4,15.13,394,Schmidt 2014,Olanzapine,Placebo,-22.9,-6.4,16.92,15.13,81,55,93,101,1,2000
299,879,Asenapine,Olanzapine,6.5,1.456247828,913,-21,22.8,312,-27.5,22,879,Schoemaker 2010,Asenapine,Olanzapine,-21,-27.5,22.8,22,869,297,913,312,1,2000
300,85,Amisulpride,Risperidone,-0.2,2.243655464,152,-26.2,19.1,158,-26,20.4,85,Sechter 2002,Amisulpride,Risperidone,-26.2,-26,19.1,20.4,151,157,152,158,1,2000
301,597,Haloperidol,Loxapine,-2.6,5.225996028,29,36.4,19.9,29,39,19.9,597,Selman 1976,Haloperidol,Loxapine,36.4,39,19.9,19.9,26,28,29,29,1,2000
302,597,Haloperidol,Placebo,-11.2,5.225996028,29,36.4,19.9,29,47.6,19.9,597,Selman 1976,Haloperidol,Placebo,36.4,47.6,19.9,19.9,26,25,29,29,1,2000
303,597,Loxapine,Placebo,-8.6,5.225996028,29,39,19.9,29,47.6,19.9,597,Selman 1976,Loxapine,Placebo,39,47.6,19.9,19.9,28,25,29,29,1,2000
304,88,Chlorpromazine,Clopenthixol,-2.78,3.674608175,14,39.58,10.69,15,42.36,8.95,88,Serafetinides 1972,Chlorpromazine,Clopenthixol,39.58,42.36,10.69,8.95,11,15,14,15,1,2000
305,88,Chlorpromazine,Haloperidol,-2.93,3.695450871,14,39.58,10.69,14,42.51,8.77,88,Serafetinides 1972,Chlorpromazine,Haloperidol,39.58,42.51,10.69,8.77,11,14,14,14,1,2000
306,88,Chlorpromazine,Placebo,-12.35,4.040440216,14,39.58,10.69,14,51.93,10.69,88,Serafetinides 1972,Chlorpromazine,Placebo,39.58,51.93,10.69,10.69,11,13,14,14,1,2000
307,88,Clopenthixol,Haloperidol,-0.15,3.291495897,15,42.36,8.95,14,42.51,8.77,88,Serafetinides 1972,Clopenthixol,Haloperidol,42.36,42.51,8.95,8.77,15,14,15,14,1,2000
308,88,Clopenthixol,Placebo,-9.57,3.674608175,15,42.36,8.95,14,51.93,10.69,88,Serafetinides 1972,Clopenthixol,Placebo,42.36,51.93,8.95,10.69,15,13,15,14,1,2000
309,88,Haloperidol,Placebo,-9.42,3.695450871,14,42.51,8.77,14,51.93,10.69,88,Serafetinides 1972,Haloperidol,Placebo,42.51,51.93,8.77,10.69,14,13,14,14,1,2000
310,1326,Olanzapine,Paliperidone,0.2,2.230246925,105,-41.3,16.31,109,-41.5,16.31,1326,Shah 2011,Olanzapine,Paliperidone,-41.3,-41.5,16.31,16.31,100,106,105,109,1,2000
311,601,Olanzapine,Placebo,-12,3.275534248,77,-14.7,20.22,78,-2.7,20.56,601,Shen 2014,Olanzapine,Placebo,-14.7,-2.7,20.22,20.56,71,71,77,78,1,2000
312,1213,Loxapine,Trifluoperazine,0.75,3.800485904,24,37.8,12.37620002,19,37.05,12.37620002,1213,Simpson 1976,Loxapine,Trifluoperazine,37.8,37.05,12.37620002,12.37620002,24,19,24,19,1,2000
313,607,Olanzapine,Ziprasidone,-0.5,1.649979931,133,-11.95,13.53,136,-11.45,13.53,607,Simpson 2004,Olanzapine,Ziprasidone,-11.95,-11.45,13.53,13.53,126,125,133,136,1,2000
314,98,Chlorpromazine,Clozapine,2.4,1.343968006,20,-25.1,4.25,20,-27.5,4.25,98,Singer 1974,Chlorpromazine,Clozapine,-25.1,-27.5,4.25,4.25,19,19,20,20,1,2000
315,611,Placebo,Quetiapine,7.7,2.249598344,96,-1,15.44,96,-8.7,15.73,611,Small 1997,Placebo,Quetiapine,-1,-8.7,15.44,15.73,92,92,96,96,1,2000
316,403,Lurasidone,Placebo,-15.1,4.528507681,99,-19.7,25.5,50,-4.6,26.4,403,Study 006,Lurasidone,Placebo,-19.7,-4.6,25.5,26.4,96,49,99,50,1,2000
317,404,Haloperidol,Lurasidone,-5.48,2.823448191,73,-16,19.43,140,-10.52,19.8,404,Study 049,Haloperidol,Lurasidone,-16,-10.52,19.43,19.8,72,135,73,140,1,2000
318,404,Haloperidol,Placebo,-3.7,3.237273857,73,-16,19.43,72,-12.3,19.55,404,Study 049,Haloperidol,Placebo,-16,-12.3,19.43,19.55,72,71,73,72,1,2000
319,404,Lurasidone,Placebo,1.78,2.847569801,140,-10.52,19.8,72,-12.3,19.55,404,Study 049,Lurasidone,Placebo,-10.52,-12.3,19.8,19.55,135,71,140,72,1,2000
320,405,Haloperidol,Placebo,-14.8,3.943732044,85,-15.2,27.84,83,-0.4,23.11,405,Study 115 2000,Haloperidol,Placebo,-15.2,-0.4,27.84,23.11,82,80,85,83,1,2000
321,405,Haloperidol,Ziprasidone,-6.76,3.393546231,85,-15.2,27.84,164,-8.44,19.83,405,Study 115 2000,Haloperidol,Ziprasidone,-15.2,-8.44,27.84,19.83,82,158,85,164,1,2000
322,405,Placebo,Ziprasidone,8.04,2.971925438,83,-0.4,23.11,164,-8.44,19.83,405,Study 115 2000,Placebo,Ziprasidone,-0.4,-8.44,23.11,19.83,80,158,83,164,1,2000
323,891,Lurasidone,Placebo,-8.6,3.041131551,90,-14.1,19.92,90,-5.5,20.87,891,Study 196,Lurasidone,Placebo,-14.1,-5.5,19.92,20.87,90,90,90,90,1,2000
324,892,Lurasidone,Placebo,-4,2.036461986,372,-21,19.5,128,-17,20,892,Study 229,Lurasidone,Placebo,-21,-17,19.5,20,362,124,372,128,1,2000
325,893,Lurasidone,Olanzapine,4.05,2.373186067,239,-24.65,22.3,123,-28.7,20.9,893,Study 231,Lurasidone,Olanzapine,-24.65,-28.7,22.3,20.9,236,121,239,123,1,2000
326,893,Lurasidone,Placebo,-8.65,2.532578947,239,-24.65,22.3,116,-16,22.42,893,Study 231,Lurasidone,Placebo,-24.65,-16,22.3,22.42,236,114,239,116,1,2000
327,893,Olanzapine,Placebo,-12.7,2.807943311,123,-28.7,20.9,116,-16,22.42,893,Study 231,Olanzapine,Placebo,-28.7,-16,20.9,22.42,121,114,123,116,1,2000
328,894,Lurasidone,Placebo,-14.02,2.196220082,246,-24.32,20.1,122,-10.3,19.7,894,Study 233,Lurasidone,Placebo,-24.32,-10.3,20.1,19.7,246,120,246,122,1,2000
329,894,Lurasidone,Quetiapine,3.48,2.186012444,246,-24.32,20.1,120,-27.8,19.4,894,Study 233,Lurasidone,Quetiapine,-24.32,-27.8,20.1,19.4,246,116,246,120,1,2000
330,894,Placebo,Quetiapine,17.5,2.513443635,122,-10.3,19.7,120,-27.8,19.4,894,Study 233,Placebo,Quetiapine,-10.3,-27.8,19.7,19.4,120,116,122,120,1,2000
331,895,Haloperidol,Iloperidone,-3.9,2.599395091,124,-12.5,21.3,124,-8.6,19.6,895,Study 3000,Haloperidol,Iloperidone,-12.5,-8.6,21.3,19.6,114,115,124,124,1,2000
332,895,Haloperidol,Placebo,-8.4,2.86916319,124,-12.5,21.3,127,-4.1,24.1,895,Study 3000,Haloperidol,Placebo,-12.5,-4.1,21.3,24.1,114,117,124,127,1,2000
333,895,Iloperidone,Placebo,-4.5,2.769724102,124,-8.6,19.6,127,-4.1,24.1,895,Study 3000,Iloperidone,Placebo,-8.6,-4.1,19.6,24.1,115,117,124,127,1,2000
334,412,Haloperidol,Iloperidone,-0.5,1.949382665,146,-12.4,20.48923902,454,-11.9,20.48923902,412,Study 3001,Haloperidol,Iloperidone,-12.4,-11.9,20.48923902,20.48923902,146,454,146,454,1,2000
335,897,Haloperidol,Iloperidone,-1.8,2.015897738,137,-23.4,20.48923902,420,-21.6,20.48923902,897,Study 3002,Haloperidol,Iloperidone,-23.4,-21.6,20.48923902,20.48923902,137,420,137,420,1,2000
336,898,Haloperidol,Iloperidone,-0.8,2.142712789,122,-14.9,20.48923902,365,-14.1,20.48923902,898,Study 3003,Haloperidol,Iloperidone,-14.9,-14.1,20.48923902,20.48923902,122,365,122,365,1,2000
337,899,Iloperidone,Placebo,-7.6,2.396848823,154,-11.1,21.1,156,-3.5,21.1,899,Study 3004,Iloperidone,Placebo,-11.1,-3.5,21.1,21.1,149,152,154,156,1,2000
338,899,Iloperidone,Risperidone,5.5,3.232109154,154,-11.1,21.1,153,-16.6,34,899,Study 3004,Iloperidone,Risperidone,-11.1,-16.6,21.1,34,149,146,154,153,1,2000
339,899,Placebo,Risperidone,13.1,3.226370377,156,-3.5,21.1,153,-16.6,34,899,Study 3004,Placebo,Risperidone,-3.5,-16.6,21.1,34,152,146,156,153,1,2000
340,900,Iloperidone,Placebo,-4.5,1.850195441,389,-12.1,19.7,160,-7.6,19.7,900,Study 3005,Iloperidone,Placebo,-12.1,-7.6,19.7,19.7,371,152,389,160,1,2000
341,900,Iloperidone,Risperidone,6.7,2.491504962,389,-12.1,19.7,157,-18.8,28.6,900,Study 3005,Iloperidone,Risperidone,-12.1,-18.8,19.7,28.6,371,148,389,157,1,2000
342,900,Placebo,Risperidone,11.2,2.763240635,160,-7.6,19.7,157,-18.8,28.6,900,Study 3005,Placebo,Risperidone,-7.6,-18.8,19.7,28.6,152,148,160,157,1,2000
343,901,Aripiprazole,Haloperidol,4.7,3.799545251,34,-11.1,15.07,34,-15.8,16.24,901,Study 93202 2002,Aripiprazole,Haloperidol,-11.1,-15.8,15.07,16.24,33,33,34,34,1,2000
344,901,Aripiprazole,Placebo,-10,3.721328702,34,-11.1,15.07,35,-1.1,15.84,901,Study 93202 2002,Aripiprazole,Placebo,-11.1,-1.1,15.07,15.84,33,35,34,35,1,2000
345,901,Haloperidol,Placebo,-14.7,3.863381895,34,-15.8,16.24,35,-1.1,15.84,901,Study 93202 2002,Haloperidol,Placebo,-15.8,-1.1,16.24,15.84,33,35,34,35,1,2000
346,418,Aripiprazole,Haloperidol,-5.5,4.498631382,61,-15.9,27.04,63,-10.4,22.8,418,Study 94202 2002,Aripiprazole,Haloperidol,-15.9,-10.4,27.04,22.8,54,54,61,63,1,2000
347,418,Aripiprazole,Placebo,-14.5,4.72551794,61,-15.9,27.04,64,-1.4,25.73,418,Study 94202 2002,Aripiprazole,Placebo,-15.9,-1.4,27.04,25.73,54,57,61,64,1,2000
348,418,Haloperidol,Placebo,-9,4.312272328,63,-10.4,22.8,64,-1.4,25.73,418,Study 94202 2002,Haloperidol,Placebo,-10.4,-1.4,22.8,25.73,54,57,63,64,1,2000
349,965,Cariprazine,Placebo,-4.79,2.252968725,128,-14.53,18.11439207,130,-9.74,18.07220518,965,Study RGH-MD-03,Cariprazine,Placebo,-14.53,-9.74,18.11439207,18.07220518,122,126,128,130,1,2000
350,968,Cariprazine,Placebo,-6.8,2.239047681,151,-22.8,19.39,147,-16,19.26,968,Study RGH-MD-05,Cariprazine,Placebo,-22.8,-16,19.39,19.26,147,145,151,147,1,2000
351,904,Placebo,Risperidone,7.72,3.029497845,83,-12.61,24,163,-20.33,19.1,904,Study RIS-USA-72 1996,Placebo,Risperidone,-12.61,-20.33,24,19.1,79,157,83,163,1,2000
352,1382,Haloperidol,Risperidone,-4,3.78102069,18,20.7,11.34306207,18,24.7,11.34306207,1382,Svestka 1990,Haloperidol,Risperidone,20.7,24.7,11.34306207,11.34306207,18,18,18,18,1,2000
353,421,Olanzapine,Quetiapine,-1.74,5.204147647,20,-45.65,11.96,22,-43.91,20.94,421,Svestka 2003a,Olanzapine,Quetiapine,-45.65,-43.91,11.96,20.94,20,22,20,22,1,2000
354,423,Olanzapine,Ziprasidone,-8.37,5.291415217,24,51.92,18.33,24,60.29,18.33,423,Svestka 2005,Olanzapine,Ziprasidone,51.92,60.29,18.33,18.33,24,24,24,24,1,2000
355,429,Chlorpromazine,Placebo,-5.7,2.961306018,15,42.5,7.7,15,48.2,8.5,429,Tetreault 1969a,Chlorpromazine,Placebo,42.5,48.2,7.7,8.5,15,15,15,15,1,2000
356,915,Haloperidol,Olanzapine,4.3,0.999343915,660,-13.4,20.6,1336,-17.7,21.8,915,Tollefson 1997,Haloperidol,Olanzapine,-13.4,-17.7,20.6,21.8,636,1312,660,1336,1,2000
357,433,Olanzapine,Risperidone,-3.2,2.789468327,172,-28.1,28,167,-24.9,23.2,433,Tran 1997,Olanzapine,Risperidone,-28.1,-24.9,28,23.2,166,165,172,167,1,2000
358,434,Haloperidol,Olanzapine,7.63,5.318410487,28,-9.75,22.6,26,-17.38,16.16,434,Tran 1999,Haloperidol,Olanzapine,-9.75,-17.38,22.6,16.16,28,24,28,26,1,2000
359,1069,Chlorpromazine,Loxapine,-2.23,3.001669407,34,31.24,12.37620002,34,33.47,12.37620002,1069,Tuason 1984,Chlorpromazine,Loxapine,31.24,33.47,12.37620002,12.37620002,34,34,34,34,1,2000
360,922,Loxapine,Placebo,-9,3.370687651,26,34,12.37620002,28,43,12.37620002,922,van der Velde 1975,Loxapine,Placebo,34,43,12.37620002,12.37620002,24,25,26,28,1,2000
361,922,Loxapine,Tiotixene,-7.5,3.370687651,26,34,12.37620002,28,41.5,12.37620002,922,van der Velde 1975,Loxapine,Tiotixene,34,41.5,12.37620002,12.37620002,24,27,26,28,1,2000
362,922,Placebo,Tiotixene,1.5,3.307678588,28,43,12.37620002,28,41.5,12.37620002,922,van der Velde 1975,Placebo,Tiotixene,43,41.5,12.37620002,12.37620002,25,27,28,28,1,2000
363,923,Placebo,Sertindole,5.62,3.671790297,48,-5,21.03,105,-10.62,21.17,923,van Kammen 1996,Placebo,Sertindole,-5,-10.62,21.03,21.17,47,101,48,105,1,2000
364,930,Olanzapine,Quetiapine,-0.9,2.383780325,42,48.5,9.9,43,49.4,12,930,Voruganti 2007,Olanzapine,Quetiapine,48.5,49.4,9.9,12,42,43,42,43,1,2000
365,1375,Chlorpromazine,Loxapine,-3.23,4.141900645,15,7.2,11.34306207,15,10.43,11.34306207,1375,Vyas 1980,Chlorpromazine,Loxapine,7.2,10.43,11.34306207,11.34306207,15,15,15,15,1,2000
366,447,Amisulpride,Olanzapine,-11.95,6.337566264,26,-45.28,23.53,26,-33.33,22.15,447,Wagner 2005,Amisulpride,Olanzapine,-45.28,-33.33,23.53,22.15,18,18,26,26,1,2000
367,456,Perazine,Zotepine,7.92,3.196240202,21,34.02,12.96,20,26.1,6.66,456,Wetzel 1991,Perazine,Zotepine,34.02,26.1,12.96,6.66,18,16,21,20,1,2000
368,936,Amisulpride,Flupentixol,-7,2.530217382,70,-23.2,13.3,62,-16.2,15.5,936,Wetzel 1998,Amisulpride,Flupentixol,-23.2,-16.2,13.3,15.5,66,61,70,62,1,2000
369,941,Haloperidol,Risperidone,5,5.371230683,20,-24.8,18.5,21,-29.8,15.7,941,Yen 2004,Haloperidol,Risperidone,-24.8,-29.8,18.5,15.7,20,21,20,21,1,2000
370,942,Haloperidol,Placebo,-12.1,2.813573889,115,-13.3,22.23,116,-1.2,20.48923902,942,Zborowski 1995,Haloperidol,Placebo,-13.3,-1.2,22.23,20.48923902,113,106,115,116,1,2000
371,942,Haloperidol,Sertindole,-5.8,2.808071588,115,-13.3,22.23,117,-7.5,20.48923902,942,Zborowski 1995,Haloperidol,Sertindole,-13.3,-7.5,22.23,20.48923902,113,111,115,117,1,2000
372,942,Placebo,Sertindole,6.3,2.684614081,116,-1.2,20.48923902,117,-7.5,20.48923902,942,Zborowski 1995,Placebo,Sertindole,-1.2,-7.5,20.48923902,20.48923902,106,111,116,117,1,2000
373,3381,Risperidone,Ziprasidone,-1.5,1.917538342,121,-37.1,14.75,118,-35.6,14.89,3381,Zhang 2011,Risperidone,Ziprasidone,-37.1,-35.6,14.75,14.89,111,96,121,118,1,2000
374,944,Quetiapine,Risperidone,3,1.94124237,338,-15.1,25.36,335,-18.1,25,944,Zhong 2006,Quetiapine,Risperidone,-15.1,-18.1,25.36,25,328,318,338,335,1,2000
375,945,Amisulpride,Haloperidol,-3.4,5.088246441,20,-19.3,16.09044805,20,-15.9,16.09044805,945,Ziegler 1989,Amisulpride,Haloperidol,-19.3,-15.9,16.09044805,16.09044805,20,19,20,20,1,2000
376,946,Haloperidol,Placebo,-8.67,2.066448639,137,-9.57,13.8,73,-0.9,14.5,946,Zimbroff 1997,Haloperidol,Placebo,-9.57,-0.9,13.8,14.5,131,71,137,73,1,2000
377,946,Haloperidol,Sertindole,-1.17,1.726810867,137,-9.57,13.8,144,-8.4,15.14,946,Zimbroff 1997,Haloperidol,Sertindole,-9.57,-8.4,13.8,15.14,131,137,137,144,1,2000
378,946,Placebo,Sertindole,7.5,2.11469614,73,-0.9,14.5,144,-8.4,15.14,946,Zimbroff 1997,Placebo,Sertindole,-0.9,-8.4,14.5,15.14,71,137,73,144,1,2000
379,486,Aripiprazole,Ziprasidone,-3,2.362509061,129,-24.6,19.1,127,-21.6,18.7,486,Zimbroff 2007,Aripiprazole,Ziprasidone,-24.6,-21.6,19.1,18.7,126,121,129,127,1,2000
